setting_id,method,rank_pct,sel,kl_val_S,kl_S_val,P_S
qqp_pos10_val1000_n2000_nv1000,LR,10.0,10,0.41483872670072974,0.3657186770671508,"[0.2, 0.8]"
qqp_pos10_val1000_n2000_nv1000,FreeShap,,1,16.410936309858272,0.962334670348412,"[0.0, 1.0]"
qqp_pos10_val1000_n2000_nv1000,FreeShap,,2,16.410936309858272,0.962334670348412,"[0.0, 1.0]"
qqp_pos10_val1000_n2000_nv1000,FreeShap,,3,16.410936309858272,0.962334670348412,"[0.0, 1.0]"
qqp_pos10_val1000_n2000_nv1000,FreeShap,,5,16.410936309858272,0.962334670348412,"[0.0, 1.0]"
qqp_pos10_val1000_n2000_nv1000,FreeShap,,10,16.410936309858272,0.962334670348412,"[0.0, 1.0]"
qqp_pos10_valbal1000_n5000_nv1000,A1,10.0,1,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos10_valbal1000_n5000_nv1000,A1,10.0,2,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos10_valbal1000_n5000_nv1000,A1,10.0,3,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos10_valbal1000_n5000_nv1000,A1,10.0,5,0.2231435513142097,0.19274475702175747,"[0.2, 0.8]"
qqp_pos10_valbal1000_n5000_nv1000,A1,10.0,10,0.2231435513142097,0.19274475702175747,"[0.2, 0.8]"
qqp_pos10_valbal1000_n5000_nv1000,LR,10.0,1,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos10_valbal1000_n5000_nv1000,LR,10.0,2,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos10_valbal1000_n5000_nv1000,LR,10.0,3,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos10_valbal1000_n5000_nv1000,LR,10.0,5,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos10_valbal1000_n5000_nv1000,LR,10.0,10,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos10_valbal1000_n5000_nv1000,FreeShap,,1,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos10_valbal1000_n5000_nv1000,FreeShap,,2,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos10_valbal1000_n5000_nv1000,FreeShap,,3,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos10_valbal1000_n5000_nv1000,FreeShap,,5,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos10_valbal1000_n5000_nv1000,FreeShap,,10,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos30_val1000_n2000_nv1000,A1,10.0,1,16.410936309858272,0.962334670348412,"[0.0, 1.0]"
qqp_pos30_val1000_n2000_nv1000,A1,10.0,2,0.028112440774372874,0.02865356539005874,"[0.5, 0.5]"
qqp_pos30_val1000_n2000_nv1000,A1,10.0,3,0.005212591296491133,0.005108602846671945,"[0.6666666666666666, 0.3333333333333333]"
qqp_pos30_val1000_n2000_nv1000,A1,10.0,5,0.09636832079126381,0.09689586382585916,"[0.4, 0.6]"
qqp_pos30_val1000_n2000_nv1000,A1,10.0,10,0.09636832079126381,0.09689586382585916,"[0.4, 0.6]"
qqp_pos30_val1000_n2000_nv1000,LR,10.0,1,9.890015326499134,0.48126682149777766,"[1.0, 0.0]"
qqp_pos30_val1000_n2000_nv1000,LR,10.0,2,0.028112440774372874,0.02865356539005874,"[0.5, 0.5]"
qqp_pos30_val1000_n2000_nv1000,LR,10.0,3,0.005212591296491133,0.005108602846671945,"[0.6666666666666666, 0.3333333333333333]"
qqp_pos30_val1000_n2000_nv1000,LR,10.0,5,0.000678555277737039,0.000682294055636086,"[0.6, 0.4]"
qqp_pos30_val1000_n2000_nv1000,LR,10.0,10,0.000678555277737039,0.000682294055636086,"[0.6, 0.4]"
qqp_pos30_val1000_n2000_nv1000,FreeShap,,1,16.410936309858272,0.962334670348412,"[0.0, 1.0]"
qqp_pos30_val1000_n2000_nv1000,FreeShap,,2,16.410936309858272,0.962334670348412,"[0.0, 1.0]"
qqp_pos30_val1000_n2000_nv1000,FreeShap,,3,16.410936309858272,0.962334670348412,"[0.0, 1.0]"
qqp_pos30_val1000_n2000_nv1000,FreeShap,,5,16.410936309858272,0.962334670348412,"[0.0, 1.0]"
qqp_pos30_val1000_n2000_nv1000,FreeShap,,10,0.41483872670072974,0.3657186770671508,"[0.2, 0.8]"
qqp_pos30_valbal1000_n5000_nv1000,A1,10.0,1,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos30_valbal1000_n5000_nv1000,A1,10.0,2,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos30_valbal1000_n5000_nv1000,A1,10.0,3,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos30_valbal1000_n5000_nv1000,A1,10.0,5,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos30_valbal1000_n5000_nv1000,A1,10.0,10,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos30_valbal1000_n5000_nv1000,LR,10.0,1,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos30_valbal1000_n5000_nv1000,LR,10.0,2,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos30_valbal1000_n5000_nv1000,LR,10.0,3,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos30_valbal1000_n5000_nv1000,LR,10.0,5,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos30_valbal1000_n5000_nv1000,LR,10.0,10,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos30_valbal1000_n5000_nv1000,FreeShap,,1,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos30_valbal1000_n5000_nv1000,FreeShap,,2,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos30_valbal1000_n5000_nv1000,FreeShap,,3,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos30_valbal1000_n5000_nv1000,FreeShap,,5,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos30_valbal1000_n5000_nv1000,FreeShap,,10,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos50_val1000_n2000_nv1000,A1,10.0,1,16.410936309858272,0.962334670348412,"[0.0, 1.0]"
qqp_pos50_val1000_n2000_nv1000,A1,10.0,2,0.028112440774372874,0.02865356539005874,"[0.5, 0.5]"
qqp_pos50_val1000_n2000_nv1000,A1,10.0,3,0.16879532590863822,0.16546455246371045,"[0.3333333333333333, 0.6666666666666666]"
qqp_pos50_val1000_n2000_nv1000,A1,10.0,5,0.41483872670072974,0.3657186770671508,"[0.2, 0.8]"
qqp_pos50_val1000_n2000_nv1000,A1,10.0,10,0.2152702818724517,0.20715001366533367,"[0.3, 0.7]"
qqp_pos50_val1000_n2000_nv1000,LR,10.0,1,9.890015326499134,0.48126682149777766,"[1.0, 0.0]"
qqp_pos50_val1000_n2000_nv1000,LR,10.0,2,9.890015326499134,0.48126682149777766,"[1.0, 0.0]"
qqp_pos50_val1000_n2000_nv1000,LR,10.0,3,9.890015326499134,0.48126682149777766,"[1.0, 0.0]"
qqp_pos50_val1000_n2000_nv1000,LR,10.0,5,9.890015326499134,0.48126682149777766,"[1.0, 0.0]"
qqp_pos50_val1000_n2000_nv1000,LR,10.0,10,9.890015326499134,0.48126682149777766,"[1.0, 0.0]"
qqp_pos50_val1000_n2000_nv1000,FreeShap,,1,9.890015326499134,0.48126682149777766,"[1.0, 0.0]"
qqp_pos50_val1000_n2000_nv1000,FreeShap,,2,9.890015326499134,0.48126682149777766,"[1.0, 0.0]"
qqp_pos50_val1000_n2000_nv1000,FreeShap,,3,9.890015326499134,0.48126682149777766,"[1.0, 0.0]"
qqp_pos50_val1000_n2000_nv1000,FreeShap,,5,9.890015326499134,0.48126682149777766,"[1.0, 0.0]"
qqp_pos50_val1000_n2000_nv1000,FreeShap,,10,9.890015326499134,0.48126682149777766,"[1.0, 0.0]"
qqp_pos50_valbal1000_n5000_nv1000,A1,10.0,1,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos50_valbal1000_n5000_nv1000,A1,10.0,2,0.0,0.0,"[0.5, 0.5]"
qqp_pos50_valbal1000_n5000_nv1000,A1,10.0,3,0.05889151782819174,0.056633012265132426,"[0.3333333333333333, 0.6666666666666666]"
qqp_pos50_valbal1000_n5000_nv1000,A1,10.0,5,0.020410997260127572,0.020135513550688863,"[0.4, 0.6]"
qqp_pos50_valbal1000_n5000_nv1000,A1,10.0,10,0.0,0.0,"[0.5, 0.5]"
qqp_pos50_valbal1000_n5000_nv1000,LR,10.0,1,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos50_valbal1000_n5000_nv1000,LR,10.0,2,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos50_valbal1000_n5000_nv1000,LR,10.0,3,13.12236337740433,0.6931471805330074,"[0.0, 1.0]"
qqp_pos50_valbal1000_n5000_nv1000,LR,10.0,5,0.020410997260127572,0.020135513550688863,"[0.4, 0.6]"
qqp_pos50_valbal1000_n5000_nv1000,LR,10.0,10,0.020410997260127572,0.020135513550688863,"[0.4, 0.6]"
qqp_pos50_valbal1000_n5000_nv1000,FreeShap,,1,13.12236337740433,0.6931471805330074,"[1.0, 0.0]"
qqp_pos50_valbal1000_n5000_nv1000,FreeShap,,2,13.12236337740433,0.6931471805330074,"[1.0, 0.0]"
qqp_pos50_valbal1000_n5000_nv1000,FreeShap,,3,0.05889151782819174,0.056633012265132426,"[0.6666666666666666, 0.3333333333333333]"
qqp_pos50_valbal1000_n5000_nv1000,FreeShap,,5,0.2231435513142097,0.19274475702175747,"[0.8, 0.2]"
qqp_pos50_valbal1000_n5000_nv1000,FreeShap,,10,0.0,0.0,"[0.5, 0.5]"
qqp_pos50_valimb1000_pos10_n5000_nv1000,A1,10.0,1,2.438019138201407,0.10536051563249792,"[1.0, 0.0]"
qqp_pos50_valimb1000_pos10_n5000_nv1000,A1,10.0,2,2.438019138201407,0.10536051563249792,"[1.0, 0.0]"
qqp_pos50_valimb1000_pos10_n5000_nv1000,A1,10.0,3,2.438019138201407,0.10536051563249792,"[1.0, 0.0]"
qqp_pos50_valimb1000_pos10_n5000_nv1000,A1,10.0,5,2.438019138201407,0.10536051563249792,"[1.0, 0.0]"
qqp_pos50_valimb1000_pos10_n5000_nv1000,A1,10.0,10,2.438019138201407,0.10536051563249792,"[1.0, 0.0]"
qqp_pos50_valimb1000_pos10_n5000_nv1000,LR,10.0,1,2.438019138201407,0.10536051563249792,"[1.0, 0.0]"
qqp_pos50_valimb1000_pos10_n5000_nv1000,LR,10.0,2,2.438019138201407,0.10536051563249792,"[1.0, 0.0]"
qqp_pos50_valimb1000_pos10_n5000_nv1000,LR,10.0,3,2.438019138201407,0.10536051563249792,"[1.0, 0.0]"
qqp_pos50_valimb1000_pos10_n5000_nv1000,LR,10.0,5,2.438019138201407,0.10536051563249792,"[1.0, 0.0]"
qqp_pos50_valimb1000_pos10_n5000_nv1000,LR,10.0,10,2.438019138201407,0.10536051563249792,"[1.0, 0.0]"
